vertexName wcoreness
org.apache.tools.ant.taskdefs.optional.sitraka 22
org.apache.tools.ant.types.selectors.modifiedselector 12
org.apache.tools.ant.taskdefs.optional.pvcs 9
org.apache.tools.ant.taskdefs.optional.net 25
org.apache.tools.ant.util.optional 2
org.apache.tools.ant.launch 2
org.apache.tools.ant.taskdefs.optional.clearcase 23
org.apache.tools.ant.filters 19
org.apache.tools.ant.util.depend 7
org.apache.tools.ant.taskdefs.optional.vss 14
org.apache.tools.ant.taskdefs.optional.script 10
org.apache.tools.ant.taskdefs.optional.sos 20
org.apache.tools.ant.types.selectors 25
org.apache.tools.ant.taskdefs.optional.perforce 19
org.apache.tools.ant.taskdefs.optional.j2ee 10
org.apache.tools.ant.taskdefs.optional.jsp.compilers 14
org.apache.tools.ant.loader 5
org.apache.tools.ant.taskdefs.optional.jlink 8
org.apache.tools.ant.taskdefs.optional.dotnet 23
org.apache.tools.ant.util.regexp 21
org.apache.tools.mail 2
org.apache.tools.ant.helper 21
org.apache.tools.ant.taskdefs 43
org.apache.tools.ant.types.resolver 2
org.apache.tools.ant.taskdefs.condition 23
org.apache.tools.ant.util.depend.bcel 2
org.apache.tools.ant.taskdefs.optional.extension.resolvers 8
org.apache.tools.ant.taskdefs.optional.depend 11
org.apache.tools.ant.taskdefs.optional.image 6
org.apache.tools.ant.util 35
org.apache.tools.ant.taskdefs.optional.sitraka.bytecode 5
org.apache.tools.ant 43
org.apache.tools.ant.taskdefs.optional.ccm 11
org.apache.tools.ant.taskdefs.email 14
org.apache.tools.bzip2 2
org.apache.tools.ant.taskdefs.optional.ssh 9
org.apache.tools.ant.taskdefs.optional.ide 15
org.apache.tools.ant.taskdefs.optional.jdepend 18
org.apache.tools.tar 2
org.apache.tools.ant.taskdefs.optional.splash 4
org.apache.tools.ant.taskdefs.optional.sound 3
org.apache.tools.ant.taskdefs.optional.unix 15
org.apache.tools.ant.taskdefs.optional.jsp 15
org.apache.tools.ant.taskdefs.optional.sitraka.bytecode.attributes 0
org.apache.tools.ant.types.optional 8
org.apache.tools.ant.taskdefs.optional.i18n 10
org.apache.tools.ant.types 43
org.apache.tools.ant.taskdefs.optional.ejb 35
org.apache.tools.ant.taskdefs.compilers 28
org.apache.tools.ant.taskdefs.optional.junit 27
org.apache.tools.ant.taskdefs.optional.starteam 12
org.apache.tools.ant.taskdefs.cvslib 17
org.apache.tools.ant.taskdefs.optional.depend.constantpool 5
org.apache.tools.ant.types.optional.image 5
org.apache.tools.ant.taskdefs.optional.javacc 16
org.apache.tools.ant.types.optional.depend 7
org.apache.tools.ant.filters.util 8
org.apache.tools.ant.input 6
org.apache.tools.ant.taskdefs.optional.scm 3
org.apache.tools.ant.listener 10
org.apache.tools.ant.taskdefs.optional.extension 15
org.apache.tools.ant.taskdefs.rmic 19
org.apache.tools.ant.taskdefs.optional.windows 8
org.apache.tools.ant.taskdefs.optional.metamata 23
org.apache.tools.ant.taskdefs.optional 41
org.apache.tools.ant.util.facade 8
org.apache.tools.zip 8
